x,date,value,value2,value3,value4
0,2020/2/14,43,7,2,1
1,2020/2/15,86,12,3,1
2,2020/2/16,65,6,3,1
3,2020/2/17,113,7,3,1
4,2020/2/18,9,7,6,1
5,2020/2/19,71,10,7,1
6,2020/2/20,90,9,9,1
7,2020/2/21,85,11,10,1
8,2020/2/22,96,27,11,1
9,2020/2/23,39,12,13,1
10,2020/2/24,104,12,14,1
11,2020/2/25,44,8,15,1
12,2020/2/26,168,22,16,1
13,2020/2/27,151,24,20,3
14,2020/2/28,130,20,22,4
15,2020/2/29,178,9,23,5
16,2020/3/1,96,15,23,5
17,2020/3/2,71,14,24,6
18,2020/3/3,153,16,24,6
19,2020/3/4,3940,33,27,6
20,2020/3/5,699,31,30,6
21,2020/3/6,553,59,28,6
22,2020/3/7,147,47,33,6
23,2020/3/8,110,33,33,6
24,2020/3/9,1314,26,31,7
25,2020/3/10,424,54,26,9
26,2020/3/11,181,52,29,12
27,2020/3/12,1855,55,32,15
28,2020/3/13,859,40,35,19
29,2020/3/14,107,62,36,21
30,2020/3/15,42,33,41,22
31,2020/3/16,2083,15,46,24
32,2020/3/17,203,44,46,28
33,2020/3/19,3490,39,49,29
34,2020/3/20,119,36,50,31
35,2020/3/21,132,53,55,33
36,2020/3/22,56,34,57,35
37,2020/3/23,3862,42,54,36
38,2020/3/25,674,38,55,41
39,2020/3/26,1805,65,57,42
40,2020/3/27,1442,93,56,43
41,2020/3/28,296,96,57,45
42,2020/3/29,206,104,60,46
43,2020/3/30,3481,194,59,49
44,2020/3/31,1914,185,59,52
45,2020/4/2,4685,74,59,54
46,2020/4/3,3305,218,60,56
47,2020/4/4,271,224,62,57
48,2020/4/5,218,253,64,60
49,2020/4/6,7876,337,69,63
50,2020/4/7,4544,370,70,69
51,2020/4/8,1383,386,79,70
52,2020/4/9,2841,270,80,73
53,2020/4/10,5389,377,99,80
54,2020/4/11,1644,550,109,81
55,2020/4/12,57,572,117,85
56,2020/4/13,9252,708,122,88
57,2020/4/14,8255,676,129,94
58,2020/4/15,693,571,135,98
59,2020/4/16,5325,333,152,102
60,2020/4/17,4149,511,168,109
61,2020/4/18,1004,511,193,119
62,2020/4/19,2953,596,207,136
63,2020/4/20,6816,575,211,148
64,2020/4/21,5542,590,217,154
65,2020/4/22,4415,372,231,161
66,2020/4/23,5349,365,232,171
67,2020/4/24,5187,374,241,186
68,2020/4/25,1250,450,259,277
69,2020/4/26,1136,445,263,287
70,2020/4/27,8545,451,287,317
71,2020/4/28,3244,374,296,334
72,2020/4/29,879,221,300,348
73,2020/4/30,8126,189,305,351
74,2020/5/1,6820,284,306,376
75,2020/5/2,880,227,308,389
76,2020/5/3,1012,199,328,415
77,2020/5/4,1332,266,324,432
78,2020/5/5,1569,302,321,458
79,2020/5/6,447,204,308,492
80,2020/5/7,13005,177,309,510
81,2020/5/8,10680,120,308,521
82,2020/5/9,2265,106,300,543
83,2020/5/10,3995,96,287,551
84,2020/5/11,5993,89,266,600
85,2020/5/12,288,108,267,613
86,2020/5/13,10074,68,249,621
87,2020/5/14,5866,50,243,643
88,2020/5/15,3092,80,259,668
89,2020/5/16,4337,54,245,687
90,2020/5/17,4987,100,237,710
91,2020/5/18,5980,52,232,725
92,2020/5/19,3221,57,230,744
93,2020/5/20,3669,30,228,749
94,2020/5/21,4580,30,213,763
95,2020/5/22,3495,31,210,771
96,2020/5/23,2769,38,195,777
97,2020/5/24,1252,43,176,796
98,2020/5/25,3620,31,174,808
99,2020/5/26,2994,29,168,820
100,2020/5/27,3004,40,165,830
101,2020/5/28,3981,20,155,846
102,2020/5/29,3501,27,147,858
103,2020/5/30,2652,37,136,867
104,2020/5/31,1657,61,131,874
105,2020/6/1,3789,64,123,886
106,2020/6/2,4526,46,119,891
107,2020/6/3,3979,32,115,892
108,2020/6/4,4600,36,113,894
109,2020/6/5,4939,51,101,900
110,2020/6/6,3220,26,102,903
111,2020/6/7,1725,45,98,907
112,2020/6/8,4516,41,99,914
113,2020/6/9,4600,45,98,916
114,2020/6/10,5092,32,99,916
115,2020/6/11,4573,22,92,916
116,2020/6/12,5145,30,91,919
117,2020/6/13,2633,36,88,920
118,2020/6/14,1451,40,82,922
119,2020/6/15,4300,57,76,924
120,2020/6/16,4462,43,73,925
121,2020/6/17,1348,62,71,925
122,2020/6/18,6176,60,80,927
123,2020/6/19,4823,42,70,931
124,2020/6/20,2474,43,62,935
125,2020/6/21,4127,68,62,935
126,2020/6/22,5376,54,61,952
127,2020/6/23,3722,65,59,953
128,2020/6/24,4979,49,59,953
129,2020/6/25,4455,40,62,955
130,2020/6/26,4758,53,60,963
131,2020/6/27,3533,89,58,967
132,2020/6/28,1513,79,51,968
133,2020/6/29,5510,99,48,970
134,2020/6/30,4651,88,45,970
135,2020/7/1,6564,111,43,971
136,2020/7/2,5460,110,42,971
137,2020/7/3,6597,132,40,973
138,2020/7/4,3134,125,37,974
139,2020/7/5,2618,194,33,975
140,2020/7/6,8228,249,32,976
141,2020/7/7,7099,268,33,976
142,2020/7/8,7725,195,34,976
143,2020/7/9,7700,172,36,977
144,2020/7/10,8955,208,35,979
145,2020/7/11,5362,203,38,980
146,2020/7/12,1838,352,31,981
147,2020/7/13,10552,420,33,981
148,2020/7/14,11154,373,32,981
149,2020/7/15,11343,391,34,981
150,2020/7/16,16683,248,40,981
151,2020/7/17,12994,327,38,983
152,2020/7/18,7166,440,37,984
153,2020/7/19,3262,619,39,984
154,2020/7/20,15959,588,41,984
155,2020/7/21,12114,655,43,984
156,2020/7/22,16357,501,47,984
157,2020/7/23,8310,407,52,987
158,2020/7/24,5695,618,55,988
159,2020/7/25,9530,792,59,989
160,2020/7/26,3785,966,68,991
161,2020/7/27,24182,766,64,992
162,2020/7/28,18086,798,66,995
163,2020/7/29,18669,830,67,995
164,2020/7/30,19687,581,76,997
165,2020/7/31,17354,968,81,1000
166,2020/8/1,9606,1242,90,1003
167,2020/8/2,10599,1297,87,1005
168,2020/8/3,25794,1574,80,1010
169,2020/8/4,18740,1535,83,1010
170,2020/8/5,39723,1324,87,1011
171,2020/8/6,22015,937,88,1015
172,2020/8/7,22698,1234,104,1021
173,2020/8/8,13676,1350,115,1025
174,2020/8/9,13336,1479,131,1032
175,2020/8/10,6440,1595,140,1038
176,2020/8/11,32939,1523,156,1039
177,2020/8/12,25782,1486,162,1046
178,2020/8/13,21062,836,171,1051
179,2020/8/14,55240,693,177,1058
180,2020/8/15,11750,969,203,1062
181,2020/8/16,7438,1176,211,1072
182,2020/8/17,25835,1356,229,1084
183,2020/8/18,21130,1234,232,1087
184,2020/8/19,21937,1017,243,1098
185,2020/8/20,21889,630,243,1114
186,2020/8/21,21866,904,239,1127
187,2020/8/22,13348,1080,237,1143
188,2020/8/23,10953,1182,243,1154
189,2020/8/24,22051,1036,243,1168
190,2020/8/25,18238,985,254,1175
191,2020/8/26,19353,739,259,1180
192,2020/8/27,21546,491,252,1195
193,2020/8/28,18597,712,246,1208
194,2020/8/29,12915,893,238,1225
195,2020/8/30,9577,867,227,1237
196,2020/8/31,21529,870,230,1254
197,2020/9/1,18131,844,234,1263
198,2020/9/2,24123,598,236,1278
199,2020/9/3,22991,425,234,1295
200,2020/9/4,15457,624,225,1306
201,2020/9/5,11930,589,218,1318
202,2020/9/6,4175,656,214,1329
203,2020/9/7,24012,583,210,1348
204,2020/9/8,14637,598,211,1356
205,2020/9/9,23072,447,209,1362
206,2020/9/10,22306,288,202,1376
207,2020/9/11,16479,514,202,1392
208,2020/9/12,10545,507,198,1405
209,2020/9/13,472,709,191,1411
210,2020/9/14,25446,639,190,1422
211,2020/9/15,20163,641,180,1438
212,2020/9/16,18314,439,185,1441
213,2020/9/17,23313,265,174,1450
214,2020/9/18,17605,531,178,1460
215,2020/9/19,9530,543,167,1472
216,2020/9/20,6153,480,170,1481
217,2020/9/21,2778,569,161,1494
218,2020/9/22,3386,597,159,1499
219,2020/9/23,26925,469,163,1499
220,2020/9/24,19021,307,164,1507
221,2020/9/25,28526,322,165,1511
222,2020/9/26,10522,216,166,1519
223,2020/9/27,4550,477,163,1531
224,2020/9/28,19750,570,156,1539
225,2020/9/29,103676,638,160,1544
226,2020/9/30,19462,478,159,1547
227,2020/10/1,17671,294,161,1556
228,2020/10/2,21860,531,151,1563
229,2020/10/3,13684,570,151,1570
230,2020/10/4,4928,623,145,1577
231,2020/10/5,21865,537,137,1589
232,2020/10/6,20435,564,133,1596
233,2020/10/7,21401,395,131,1598
234,2020/10/8,21397,271,140,1601
235,2020/10/9,19697,497,141,1604
236,2020/10/10,10803,505,143,1612
237,2020/10/11,5077,622,141,1615
238,2020/10/12,23235,594,147,1623
239,2020/10/13,19828,669,145,1626
240,2020/10/14,21837,432,146,1628
241,2020/10/15,20737,273,148,1633
242,2020/10/16,20701,494,150,1637
243,2020/10/17,9896,549,146,1645
244,2020/10/18,5123,703,148,1649
245,2020/10/19,21920,635,148,1660
246,2020/10/20,15486,579,145,1669
247,2020/10/21,22144,457,144,1673
248,2020/10/22,23418,315,143,1675
249,2020/10/23,22880,477,150,1678
250,2020/10/24,13211,616,150,1684
251,2020/10/25,5427,610,151,1693
252,2020/10/26,22602,745,155,1705
253,2020/10/27,25714,718,159,1710
254,2020/10/28,23064,488,162,1717
255,2020/10/29,20504,401,165,1724
256,2020/10/30,21782,649,166,1729
257,2020/10/31,11398,724,161,1732
258,2020/11/1,6214,804,156,1743
259,2020/11/2,21535,769,161,1754
260,2020/11/3,7477,868,160,1765
261,2020/11/4,21840,606,163,1773
262,2020/11/5,29533,482,163,1779
263,2020/11/6,28237,868,165,1785
264,2020/11/7,13460,607,183,1793
265,2020/11/8,8004,1049,189,1805
266,2020/11/9,25476,1137,194,1808
267,2020/11/10,25179,1302,196,1811
268,2020/11/11,33681,938,204,1817
269,2020/11/12,29912,772,208,1828
270,2020/11/13,24038,1278,204,1840
271,2020/11/14,16651,1535,226,1850
272,2020/11/15,9127,1623,231,1866
273,2020/11/16,30109,1704,234,1879
274,2020/11/17,27634,1723,243,1882
275,2020/11/18,34630,1423,251,1884
276,2020/11/19,37810,948,272,1902
277,2020/11/20,41770,1686,276,1912
278,2020/11/21,24924,2179,280,1921
279,2020/11/22,20389,2383,291,1942
280,2020/11/23,9560,2418,313,1962
281,2020/11/24,43773,2508,323,1973
282,2020/11/25,41052,2150,331,1980
283,2020/11/26,42634,1513,345,1988
284,2020/11/27,43351,1217,376,2000
285,2020/11/28,22307,1930,410,2021
286,2020/11/29,11975,2499,435,2050
287,2020/11/30,41335,2510,440,2073
288,2020/12/1,44289,2674,462,2105
289,2020/12/2,43236,2041,472,2118
290,2020/12/3,36823,1429,493,2138
291,2020/12/4,38145,2019,488,2171
292,2020/12/5,22313,2419,497,2212
293,2020/12/6,17612,2507,505,2239
294,2020/12/7,37737,2425,520,2282
295,2020/12/8,40060,2497,519,2314
296,2020/12/9,54557,1999,530,2334
297,2020/12/10,44612,1502,536,2381
298,2020/12/11,53834,2148,555,2419
299,2020/12/12,28203,2802,543,2464
300,2020/12/13,13144,2948,554,2501
301,2020/12/14,53758,2781,578,2533
302,2020/12/15,45817,3012,583,2561
303,2020/12/16,54303,2373,588,2584
304,2020/12/17,62439,1662,592,2642
305,2020/12/18,56421,2402,618,2687
306,2020/12/19,27049,2987,605,2738
307,2020/12/20,12282,3208,609,2782
308,2020/12/21,55650,2833,598,2827
309,2020/12/22,31110,2972,593,2872
310,2020/12/23,72258,2391,603,2899
311,2020/12/24,63512,1776,620,2943
312,2020/12/25,60261,2665,619,2993
313,2020/12/26,32677,3258,644,3049
314,2020/12/27,11963,3714,644,3104
315,2020/12/28,74383,3813,654,3154
316,2020/12/29,24850,3694,659,3212
317,2020/12/30,21069,2939,661,3251
318,2020/12/31,39575,2383,675,3305
319,2021/1/1,25072,3595,668,3348
320,2021/1/2,8746,3845,681,3413
321,2021/1/3,20291,4322,716,3459
322,2021/1/4,84338,3106,711,3513
323,2021/1/5,88446,3045,714,3547
324,2021/1/6,73967,3127,731,3598
325,2021/1/7,81440,3302,771,3654
326,2021/1/8,63373,4885,784,3718
327,2021/1/9,35730,5946,796,3790
328,2021/1/10,24008,7537,826,3856
329,2021/1/11,19942,7844,827,3931
330,2021/1/12,86551,7278,852,3995
331,2021/1/13,81255,6090,864,4043
332,2021/1/14,101255,4851,881,4093
333,2021/1/15,70610,4521,900,4144
334,2021/1/16,44662,5841,920,4232
335,2021/1/17,16038,6598,934,4314
336,2021/1/18,80773,6741,965,4379
