x,y
0.8374554,-2.8877337
0.87574655,-2.7599728
0.8328094,-2.8592155
0.851407,-2.7763138
0.7445488,-2.7192333
0.8617752,-2.5890524
0.87802196,-2.5056286
0.88786876,-2.4028454
0.8892871,-2.3019671
0.87361115,-2.2365282
0.8383664,-2.1540542
0.83322513,-2.1424868
0.7870042,-2.0748465
-1.175547,0.07839931
-1.3981457,0.011898961
-1.5108184,0.106091656
0.33039042,-1.5589398
-1.4548547,0.049800005
0.295316,-1.5231084
0.26069373,-1.4831313
0.17252557,-1.3918672
0.23936163,-1.4587405
0.17061262,-1.3887218
0.14463702,-1.3625753
-1.5689837,0.15059508
-0.85059834,0.12703831
-0.75247383,0.18036409
-0.7731233,0.16022806
-0.50594467,0.3335545
-0.819931,0.16181052
-2.3038027,1.2504897
-2.9942737,1.2820014
-0.15380788,0.59721583
-2.3995798,1.4154831
-3.145508,1.3303993
-3.1759138,1.3716358
-3.176089,1.3617829
-2.3060398,1.5801761
0.03784963,0.7858206
-2.3412507,1.7401199
-2.4936266,1.7986491
-3.1390612,1.5455672
-2.4099348,1.78397
-3.545109,5.8977504
-3.5138175,5.862396
-3.1902092,1.4049633
-3.4871635,5.8506384
-3.5389721,5.8956847
-3.622569,5.9722123
-3.827454,6.1148844
-3.8778374,6.215805
-3.7890933,6.0863004
-3.7080114,6.0868883
-3.7869496,6.3315697
-2.1035185,11.735867
-1.8986083,11.826446
-1.5178827,11.9446125
-0.52761495,11.369398
-1.8634269,11.834527
-3.0750306,11.558059
0.08750372,10.599505
0.8067707,11.565506
1.7050785,13.215309
1.69419,12.398391
1.0997375,11.871858
1.1829625,12.065659
1.1956745,12.080629
1.4235079,12.910887
10.836013,5.3046627
1.3281785,12.229238
5.78949,4.9149284
5.4767838,4.0082307
5.352145,3.9050303
4.8774567,3.4807184
5.6121774,4.721989
5.3366494,3.862751
5.6419296,4.722978
5.488657,4.019664
5.6838346,4.7819505
5.7658353,4.853906
5.483491,4.107298
5.1813316,3.7264366
5.508744,4.5939574
4.955759,3.535426
9.632817,6.059721
5.177026,3.8675313
4.762812,3.449691
4.8295455,4.5650516
5.037826,4.580567
4.687918,4.4766517
4.8459187,4.549124
4.62004,4.359697
4.70412,4.489154
4.6296782,3.4004514
4.2222924,4.3111258
4.5869455,3.438804
4.5861397,3.4259727
4.2998047,4.40432
3.7945445,4.091478
3.7856443,4.089333
3.8108158,3.9906478
3.9667506,4.261048
3.7646387,4.1090946
3.6673827,4.06435
0.6665234,2.2124426
3.7275288,4.1378984
0.53394425,2.2097452
-0.17887282,2.294502
-0.077243455,2.3161325
0.51062673,2.1954064
0.13438849,2.2434695
0.29850876,2.2143817
0.58888507,2.1332037
-0.047039103,2.2583692
-0.69154406,2.0968385
-0.8186622,2.0677843
0.025024734,2.246796
-0.8203957,2.032687
-1.054664,1.910391
-1.1801805,1.8340411
-1.3030856,1.8318183
-1.7251697,1.7641132
-1.0918118,1.9081458
-0.016292,0.7982183
0.035810865,0.75897455
-2.0422769,1.7460343
3.7299612,4.158359
-2.2903216,1.7497531
-2.1121378,1.6940793
-3.195309,1.3817406
0.20875518,0.98996127
