,date,value2,value3,value4,value4/value2,value4/value3,value3/value2
0,2020/2/14,7,2,1,0.125,0.3333333333333333,0.25
1,2020/2/15,12,3,0,0.0,0.0,0.23076923076923078
2,2020/2/16,6,3,0,0.0,0.0,0.42857142857142855
3,2020/2/17,7,3,0,0.0,0.0,0.375
4,2020/2/18,7,6,0,0.0,0.0,0.75
5,2020/2/19,10,7,0,0.0,0.0,0.6363636363636364
6,2020/2/20,9,9,0,0.0,0.0,0.9
7,2020/2/21,11,10,0,0.0,0.0,0.8333333333333334
8,2020/2/22,27,11,0,0.0,0.0,0.39285714285714285
9,2020/2/23,12,13,0,0.0,0.0,1.0
10,2020/2/24,12,14,0,0.0,0.0,1.0769230769230769
11,2020/2/25,8,15,0,0.0,0.0,1.6666666666666667
12,2020/2/26,22,16,0,0.0,0.0,0.6956521739130435
13,2020/2/27,24,20,2,0.08,0.09523809523809523,0.8
14,2020/2/28,20,22,1,0.047619047619047616,0.043478260869565216,1.0476190476190477
15,2020/2/29,9,23,1,0.1,0.041666666666666664,2.3
16,2020/3/1,15,23,0,0.0,0.0,1.4375
17,2020/3/2,14,24,1,0.06666666666666667,0.04,1.6
18,2020/3/3,16,24,0,0.0,0.0,1.411764705882353
19,2020/3/4,33,27,0,0.0,0.0,0.7941176470588235
20,2020/3/5,31,30,0,0.0,0.0,0.9375
21,2020/3/6,59,28,0,0.0,0.0,0.4666666666666667
22,2020/3/7,47,33,0,0.0,0.0,0.6875
23,2020/3/8,33,33,0,0.0,0.0,0.9705882352941176
24,2020/3/9,26,31,1,0.037037037037037035,0.03125,1.1481481481481481
25,2020/3/10,54,26,2,0.03636363636363636,0.07407407407407407,0.4727272727272727
26,2020/3/11,52,29,3,0.05660377358490566,0.1,0.5471698113207547
27,2020/3/12,55,32,3,0.05357142857142857,0.09090909090909091,0.5714285714285714
28,2020/3/13,40,35,4,0.0975609756097561,0.1111111111111111,0.8536585365853658
29,2020/3/14,62,36,2,0.031746031746031744,0.05405405405405406,0.5714285714285714
30,2020/3/15,33,41,1,0.029411764705882353,0.023809523809523808,1.2058823529411764
31,2020/3/16,15,46,2,0.125,0.0425531914893617,2.875
32,2020/3/17,44,46,4,0.08888888888888889,0.0851063829787234,1.0222222222222221
33,2020/3/19,39,49,1,0.025,0.02,1.225
34,2020/3/20,36,50,2,0.05405405405405406,0.0392156862745098,1.3513513513513513
35,2020/3/21,53,55,2,0.037037037037037035,0.03571428571428571,1.0185185185185186
36,2020/3/22,34,57,2,0.05714285714285714,0.034482758620689655,1.6285714285714286
37,2020/3/23,42,54,1,0.023255813953488372,0.01818181818181818,1.255813953488372
38,2020/3/25,38,55,5,0.1282051282051282,0.08928571428571429,1.4102564102564104
39,2020/3/26,65,57,1,0.015151515151515152,0.017241379310344827,0.8636363636363636
40,2020/3/27,93,56,1,0.010638297872340425,0.017543859649122806,0.5957446808510638
41,2020/3/28,96,57,2,0.020618556701030927,0.034482758620689655,0.5876288659793815
42,2020/3/29,104,60,1,0.009523809523809525,0.01639344262295082,0.5714285714285714
43,2020/3/30,194,59,3,0.015384615384615385,0.05,0.30256410256410254
44,2020/3/31,185,59,3,0.016129032258064516,0.05,0.3172043010752688
45,2020/4/2,74,59,2,0.02666666666666667,0.03333333333333333,0.7866666666666666
46,2020/4/3,218,60,2,0.0091324200913242,0.03278688524590164,0.273972602739726
