label,value1,value2
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,1
2020/2/13,0,4
2020/2/14,2,7
2020/2/15,3,12
2020/2/16,3,6
2020/2/17,3,7
2020/2/18,6,7
2020/2/19,7,10
2020/2/20,9,9
2020/2/21,10,11
2020/2/22,11,27
2020/2/23,13,12
2020/2/24,14,12
2020/2/25,15,8
2020/2/26,16,22
2020/2/27,20,24
2020/2/28,22,20
2020/2/29,23,9
2020/3/1,23,15
2020/3/2,24,14
2020/3/3,24,16
2020/3/4,27,33
2020/3/5,30,31
2020/3/6,28,59
2020/3/7,33,47
2020/3/8,33,33
2020/3/9,31,26
2020/3/10,26,54
2020/3/11,29,52
2020/3/12,32,55
2020/3/13,35,40
2020/3/14,36,62
2020/3/15,41,33
2020/3/16,46,15
2020/3/17,46,44
2020/3/18,49,39
2020/3/19,50,36
2020/3/20,55,53
2020/3/21,57,34
2020/3/22,54,42
2020/3/23,55,38
2020/3/24,57,65
2020/3/25,56,93
2020/3/26,57,96
2020/3/27,60,104
2020/3/28,59,194
2020/3/29,59,185
2020/3/30,59,74
2020/3/31,60,218
2020/4/1,62,224
2020/4/2,64,253
2020/4/3,69,337
2020/4/4,70,370
2020/4/5,79,386
2020/4/6,80,270
2020/4/7,99,377
2020/4/8,109,550
2020/4/9,117,572
2020/4/10,122,708
2020/4/11,129,676
2020/4/12,135,571
2020/4/13,152,333
2020/4/14,168,511
2020/4/15,193,511
2020/4/16,207,596
2020/4/17,211,575
2020/4/18,217,590
2020/4/19,231,372
2020/4/20,232,365
2020/4/21,241,374
2020/4/22,259,450
2020/4/23,263,445
2020/4/24,287,451
2020/4/25,296,374
2020/4/26,300,221
2020/4/27,305,189
2020/4/28,306,284
2020/4/29,308,227
2020/4/30,328,199
2020/5/1,324,266
2020/5/2,321,302
2020/5/3,308,204
2020/5/4,309,177
2020/5/5,308,120
2020/5/6,300,106
2020/5/7,287,96
2020/5/8,266,89
2020/5/9,267,108
2020/5/10,249,68
2020/5/11,243,50
2020/5/12,259,80
2020/5/13,245,54
2020/5/14,237,100
2020/5/15,232,52
2020/5/16,230,57
2020/5/17,228,30
2020/5/18,213,30
2020/5/19,210,31
2020/5/20,195,38
2020/5/21,176,43
2020/5/22,174,31
2020/5/23,168,29
2020/5/24,165,40
2020/5/25,155,20
2020/5/26,147,27
2020/5/27,136,37
2020/5/28,131,61
2020/5/29,123,64
2020/5/30,119,46
2020/5/31,115,32
2020/6/1,113,36
2020/6/2,101,51
2020/6/3,102,26
2020/6/4,98,45
2020/6/5,99,41
2020/6/6,98,45
2020/6/7,99,32
2020/6/8,92,22
2020/6/9,91,30
2020/6/10,88,36
2020/6/11,82,40
2020/6/12,76,57
2020/6/13,73,43
2020/6/14,71,62
2020/6/15,80,60
2020/6/16,70,42
2020/6/17,62,43
2020/6/18,62,68
2020/6/19,61,54
2020/6/20,59,65
2020/6/21,59,49
2020/6/22,62,40
2020/6/23,60,53
2020/6/24,58,89
2020/6/25,51,79
2020/6/26,48,99
2020/6/27,45,88
2020/6/28,43,111
2020/6/29,42,110
2020/6/30,40,132
2020/7/1,37,125
2020/7/2,33,194
2020/7/3,32,249
2020/7/4,33,268
2020/7/5,34,195
2020/7/6,36,172
2020/7/7,35,208
2020/7/8,38,203
2020/7/9,31,352
2020/7/10,33,420
2020/7/11,32,373
2020/7/12,34,391
2020/7/13,40,248
2020/7/14,38,327
2020/7/15,37,440
2020/7/16,39,619
2020/7/17,41,588
2020/7/18,43,655
2020/7/19,47,501
2020/7/20,52,407
2020/7/21,55,618
2020/7/22,59,792
2020/7/23,68,966
2020/7/24,64,766
2020/7/25,66,798
2020/7/26,67,830
2020/7/27,76,581
2020/7/28,81,968
2020/7/29,90,1242
2020/7/30,87,1297
2020/7/31,80,1574
2020/8/1,83,1535
2020/8/2,87,1324
2020/8/3,88,937
2020/8/4,104,1234
2020/8/5,115,1350
2020/8/6,131,1479
2020/8/7,140,1595
2020/8/8,156,1523
2020/8/9,162,1486
2020/8/10,171,836
2020/8/11,177,693
2020/8/12,203,969
2020/8/13,211,1176
2020/8/14,229,1356
2020/8/15,232,1234
2020/8/16,243,1017
2020/8/17,243,630
2020/8/18,239,904
2020/8/19,237,1080
2020/8/20,243,1182
2020/8/21,243,1036
2020/8/22,254,985
2020/8/23,259,739
2020/8/24,252,491
2020/8/25,246,712
2020/8/26,238,893
2020/8/27,227,867
2020/8/28,230,870
2020/8/29,234,844
2020/8/30,236,598
2020/8/31,234,425
2020/9/1,225,624
2020/9/2,218,589
2020/9/3,214,656
2020/9/4,210,583
2020/9/5,211,598
